Dataset,Experiment,Mean_Acc,Std_Acc
german,Baseline,0.7709999999999999,0.030713731999438516
german,Paper (SMOTE-ENN),0.666,0.03687817782917155
german,Proposed (Attn+Focal),0.775,0.04222953153106642
australian,Baseline,0.8507246376811594,0.05022760862056049
australian,Paper (SMOTE-ENN),0.8362318840579711,0.06188479335227007
australian,Proposed (Attn+Focal),0.8652173913043478,0.048333327297703406
taiwan,Baseline,0.8174666666666666,0.003916489357688713
taiwan,Paper (SMOTE-ENN),0.6672666666666667,0.016320403045132065
taiwan,Proposed (Attn+Focal),0.8183,0.005168548044556505
