dataset,model,condition,accuracy_mean,balanced_accuracy_mean,pr_auc_mean,final_train_accuracy_mean,best_val_accuracy_mean,epochs_ran_mean,val_loss_mean
australian,gru,baseline,0.7898550724637682,0.7852231073962823,0.8260824876715276,0.7840579710144928,0.8130434782608695,19.5,0.45625501573085786
australian,gru,focal_loss,0.8014492753623188,0.797882112228462,0.8371036191387956,0.7890499194847022,0.8246376811594203,20.4,0.05785525217652321
australian,gru,smoteenn,0.7507246376811594,0.7417176004527447,0.7941589865417626,0.8321329035090785,0.7782608695652173,14.4,0.5002772271633148
australian,gru,weighted_bce,0.7652173913043478,0.7630233773018154,0.8122761174570344,0.7753623188405797,0.7971014492753623,19.7,0.5481332957744598
australian,lstm,baseline,0.8,0.7935431631187149,0.8439071280241996,0.7760064412238326,0.8188405797101449,24.2,0.46158520579338075
australian,lstm,focal_loss,0.7710144927536231,0.768077793739933,0.8129357432019372,0.7592592592592593,0.7985507246376812,16.8,0.0625413317233324
australian,lstm,smoteenn,0.7347826086956522,0.7201177571720866,0.7856670004980548,0.7573091578708786,0.7594202898550725,16.6,0.5200612798333168
australian,lstm,weighted_bce,0.7855072463768116,0.7833810021331244,0.8364938043315909,0.7426731078904992,0.8014492753623188,20.7,0.5310287237167358
australian,mlp,baseline,0.855072463768116,0.853066257455052,0.9154236965610985,0.8826086956521738,0.8782608695652174,11.8,0.3253591388463974
australian,mlp,focal_loss,0.8623188405797102,0.8620758782813113,0.9213419880374115,0.889049919484702,0.8782608695652174,12.0,0.04234673772007227
australian,mlp,smoteenn,0.8434782608695652,0.8414335466457707,0.9022445877852974,0.9901049523737612,0.8768115942028987,8.6,0.36522820591926575
australian,mlp,weighted_bce,0.8623188405797102,0.8620959035305384,0.9169917711234984,0.8887278582930757,0.8797101449275362,15.4,0.3593877002596855
default_credit,gru,baseline,0.8207333333333333,0.6542904676863434,0.5524567446438152,0.8231333333333334,0.8227,22.9,0.43164321099122366
default_credit,gru,focal_loss,0.7633666666666666,0.7081998208382521,0.5483815343974328,0.7604703703703704,0.7933,20.4,0.04957747540573279
default_credit,gru,smoteenn,0.7243,0.6978597857772375,0.521801088589295,0.8117621934399585,0.7508666666666667,11.7,0.6813360494295756
default_credit,gru,weighted_bce,0.7655666666666667,0.7076628725067249,0.549834670661016,0.7614518518518518,0.7937000000000001,19.2,0.8788315630435944
default_credit,lstm,baseline,0.8195666666666666,0.6531595505898968,0.5427945127114298,0.8211111111111112,0.8221333333333334,18.9,0.4334221407016118
default_credit,lstm,focal_loss,0.7668666666666667,0.7080657104484064,0.5421071102669047,0.7634148148148148,0.7932,14.7,0.04986516607801119
default_credit,lstm,smoteenn,0.7266,0.672087087978719,0.4778330185723438,0.7894537148761022,0.7555666666666666,7.5,0.6562507028897604
default_credit,lstm,weighted_bce,0.7733,0.7062055987447446,0.5471344699475333,0.7648592592592592,0.7953666666666667,21.3,0.8821040240128835
default_credit,mlp,baseline,0.8211666666666666,0.6529500771305337,0.5514023035365392,0.8210666666666666,0.8232333333333333,14.5,0.4297051986694336
default_credit,mlp,focal_loss,0.7613,0.7103223816689588,0.5487686353702659,0.7560592592592592,0.7847666666666667,12.8,0.04926077770292759
default_credit,mlp,smoteenn,0.6720666666666666,0.6929522597010704,0.5359524555964542,0.8215059108041863,0.6836333333333333,8.8,0.7910717613220215
default_credit,mlp,weighted_bce,0.7620333333333333,0.7095520579777297,0.5481431054913373,0.7518296296296296,0.7761,15.7,0.8725667659282685
german,gru,baseline,0.709,0.5273809523809524,0.4182331643309066,0.7034444444444444,0.71,18.5,0.5865584313869476
german,gru,focal_loss,0.518,0.5328571428571428,0.3871993373037528,0.5826666666666667,0.6609999999999999,9.3,0.07202424630522727
german,gru,smoteenn,0.42699999999999994,0.5373809523809523,0.3859404216314807,0.7347462512838303,0.521,9.7,0.7574413537979126
german,gru,weighted_bce,0.563,0.5630952380952381,0.3760418162607222,0.5408888888888889,0.6599999999999999,13.2,0.9502489328384399
german,lstm,baseline,0.7,0.5,0.328619510619595,0.7,0.7,9.7,0.6111842870712281
german,lstm,focal_loss,0.5189999999999999,0.545952380952381,0.38611438301994927,0.5389999999999999,0.6729999999999999,9.9,0.07174630612134933
german,lstm,smoteenn,0.31799999999999995,0.5033333333333333,0.34784038503817055,0.6563835171931016,0.45099999999999996,8.3,0.7536491990089417
german,lstm,weighted_bce,0.554,0.5804761904761905,0.39908947474166034,0.5408888888888889,0.65,13.5,0.9434524297714233
german,mlp,baseline,0.772,0.6942857142857143,0.6287577467030148,0.8053333333333332,0.786,11.4,0.48276990950107573
german,mlp,focal_loss,0.73,0.7385714285714285,0.6314605114020847,0.7658888888888888,0.755,10.8,0.05756514258682728
german,mlp,smoteenn,0.621,0.6921428571428572,0.5961078446820878,0.9305787490292854,0.6809999999999999,7.3,0.7170659959316253
german,mlp,weighted_bce,0.718,0.7195238095238096,0.6454442656729632,0.7637777777777778,0.739,12.1,0.7485180914402008
