dataset,model,condition,fold_id,history_path
australian,gru,baseline,8,/kaggle/working/assignment3_outputs/histories/australian_gru_baseline_fold08_history.csv
australian,gru,focal_loss,1,/kaggle/working/assignment3_outputs/histories/australian_gru_focal_loss_fold01_history.csv
australian,gru,smoteenn,7,/kaggle/working/assignment3_outputs/histories/australian_gru_smoteenn_fold07_history.csv
australian,gru,weighted_bce,10,/kaggle/working/assignment3_outputs/histories/australian_gru_weighted_bce_fold10_history.csv
australian,lstm,baseline,1,/kaggle/working/assignment3_outputs/histories/australian_lstm_baseline_fold01_history.csv
australian,lstm,focal_loss,8,/kaggle/working/assignment3_outputs/histories/australian_lstm_focal_loss_fold08_history.csv
australian,lstm,smoteenn,5,/kaggle/working/assignment3_outputs/histories/australian_lstm_smoteenn_fold05_history.csv
australian,lstm,weighted_bce,8,/kaggle/working/assignment3_outputs/histories/australian_lstm_weighted_bce_fold08_history.csv
australian,mlp,baseline,9,/kaggle/working/assignment3_outputs/histories/australian_mlp_baseline_fold09_history.csv
australian,mlp,focal_loss,5,/kaggle/working/assignment3_outputs/histories/australian_mlp_focal_loss_fold05_history.csv
australian,mlp,smoteenn,8,/kaggle/working/assignment3_outputs/histories/australian_mlp_smoteenn_fold08_history.csv
australian,mlp,weighted_bce,3,/kaggle/working/assignment3_outputs/histories/australian_mlp_weighted_bce_fold03_history.csv
default_credit,gru,baseline,7,/kaggle/working/assignment3_outputs/histories/default_credit_gru_baseline_fold07_history.csv
default_credit,gru,focal_loss,7,/kaggle/working/assignment3_outputs/histories/default_credit_gru_focal_loss_fold07_history.csv
default_credit,gru,smoteenn,4,/kaggle/working/assignment3_outputs/histories/default_credit_gru_smoteenn_fold04_history.csv
default_credit,gru,weighted_bce,8,/kaggle/working/assignment3_outputs/histories/default_credit_gru_weighted_bce_fold08_history.csv
default_credit,lstm,baseline,4,/kaggle/working/assignment3_outputs/histories/default_credit_lstm_baseline_fold04_history.csv
default_credit,lstm,focal_loss,8,/kaggle/working/assignment3_outputs/histories/default_credit_lstm_focal_loss_fold08_history.csv
default_credit,lstm,smoteenn,5,/kaggle/working/assignment3_outputs/histories/default_credit_lstm_smoteenn_fold05_history.csv
default_credit,lstm,weighted_bce,7,/kaggle/working/assignment3_outputs/histories/default_credit_lstm_weighted_bce_fold07_history.csv
default_credit,mlp,baseline,6,/kaggle/working/assignment3_outputs/histories/default_credit_mlp_baseline_fold06_history.csv
default_credit,mlp,focal_loss,7,/kaggle/working/assignment3_outputs/histories/default_credit_mlp_focal_loss_fold07_history.csv
default_credit,mlp,smoteenn,9,/kaggle/working/assignment3_outputs/histories/default_credit_mlp_smoteenn_fold09_history.csv
default_credit,mlp,weighted_bce,7,/kaggle/working/assignment3_outputs/histories/default_credit_mlp_weighted_bce_fold07_history.csv
german,gru,baseline,6,/kaggle/working/assignment3_outputs/histories/german_gru_baseline_fold06_history.csv
german,gru,focal_loss,1,/kaggle/working/assignment3_outputs/histories/german_gru_focal_loss_fold01_history.csv
german,gru,smoteenn,5,/kaggle/working/assignment3_outputs/histories/german_gru_smoteenn_fold05_history.csv
german,gru,weighted_bce,8,/kaggle/working/assignment3_outputs/histories/german_gru_weighted_bce_fold08_history.csv
german,lstm,baseline,4,/kaggle/working/assignment3_outputs/histories/german_lstm_baseline_fold04_history.csv
german,lstm,focal_loss,2,/kaggle/working/assignment3_outputs/histories/german_lstm_focal_loss_fold02_history.csv
german,lstm,smoteenn,6,/kaggle/working/assignment3_outputs/histories/german_lstm_smoteenn_fold06_history.csv
german,lstm,weighted_bce,3,/kaggle/working/assignment3_outputs/histories/german_lstm_weighted_bce_fold03_history.csv
german,mlp,baseline,7,/kaggle/working/assignment3_outputs/histories/german_mlp_baseline_fold07_history.csv
german,mlp,focal_loss,7,/kaggle/working/assignment3_outputs/histories/german_mlp_focal_loss_fold07_history.csv
german,mlp,smoteenn,10,/kaggle/working/assignment3_outputs/histories/german_mlp_smoteenn_fold10_history.csv
german,mlp,weighted_bce,10,/kaggle/working/assignment3_outputs/histories/german_mlp_weighted_bce_fold10_history.csv
