feature,mean_abs_ig
PAY_0,0.44296053
num_delayed_months,0.31180757
max_pay_delay,0.28053927
avg_utilization,0.20598727
LIMIT_BAL,0.16921191
BILL_AMT3,0.14963831
BILL_AMT4,0.13158865
avg_pay_amt,0.12163677
utilization_current,0.11301951
PAY_AMT1,0.102876976
PAY_6,0.088255644
avg_pay_delay,0.08677272
MARRIAGE,0.084249124
SEX,0.065783106
PAY_5,0.060851272
PAY_AMT2,0.05918094
recent_bill_change,0.053310912
BILL_AMT1,0.05272331
PAY_AMT3,0.051165774
EDUCATION,0.050270237
std_bill_amt,0.04737179
max_pay_amt,0.046683785
PAY_AMT5,0.046253305
BILL_AMT6,0.043888565
BILL_AMT2,0.042802442
PAY_4,0.041468386
BILL_AMT5,0.040135536
max_bill_amt,0.038987115
avg_bill_amt,0.036828518
AGE,0.034046013
PAY_2,0.03218
PAY_3,0.031769738
PAY_AMT6,0.029470002
std_pay_amt,0.027723946
PAY_AMT4,0.020611653
recent_payment_change,0.009713078
payment_to_bill_ratio_1,0.0018699048
avg_payment_to_bill_ratio,0.00047910592
