feature,mean_abs_importance,mean_mask
PAY_0,0.17019717,0.17019717
max_pay_delay,0.15628454,0.15628454
avg_pay_delay,0.12530898,0.12530898
avg_payment_to_bill_ratio,0.110225126,0.110225126
LIMIT_BAL,0.1001406,0.1001406
avg_pay_amt,0.052492928,0.052492928
PAY_5,0.05060853,0.05060853
num_delayed_months,0.0277747,0.0277747
std_pay_amt,0.026687775,0.026687775
PAY_AMT5,0.019056862,0.019056862
SEX,0.0184795,0.0184795
BILL_AMT2,0.017810002,0.017810002
recent_payment_change,0.017768413,0.017768413
MARRIAGE,0.01733739,0.01733739
PAY_AMT4,0.016438646,0.016438646
PAY_AMT1,0.015046519,0.015046519
BILL_AMT6,0.013630035,0.013630035
EDUCATION,0.012750358,0.012750358
max_bill_amt,0.011542318,0.011542318
utilization_current,0.007998685,0.007998685
PAY_AMT2,0.0063538128,0.0063538128
AGE,0.0012019696,0.0012019696
BILL_AMT5,0.001024468,0.001024468
PAY_AMT6,0.0009542473,0.0009542473
PAY_3,0.0006169626,0.0006169626
PAY_AMT3,0.00055653765,0.00055653765
BILL_AMT4,0.00043663452,0.00043663452
PAY_6,0.00035452546,0.00035452546
BILL_AMT3,0.0003453481,0.0003453481
PAY_2,0.00029630517,0.00029630517
BILL_AMT1,0.00019010715,0.00019010715
avg_bill_amt,7.452706e-05,7.452706e-05
PAY_4,1.5462458e-05,1.5462458e-05
std_bill_amt,0.0,0.0
max_pay_amt,0.0,0.0
recent_bill_change,0.0,0.0
avg_utilization,0.0,0.0
payment_to_bill_ratio_1,0.0,0.0
