model_name,attribute,group,group_value,group_size,default_rate,predicted_positive_rate,recall_tpr,fpr,fnr,brier_score,roc_auc
LogisticRegression,SEX,SEX=1,1,35622,0.2416203469765875,0.2812587726685756,0.5946322760543743,0.18141773089024615,0.40536772394562565,0.1953142629221648,0.7727816894086592
LogisticRegression,SEX,SEX=2,2,54273,0.20789342767121774,0.22215466253938423,0.5443587698307187,0.13759013724121888,0.4556412301692812,0.1761917466622874,0.7726013927417933
LogisticRegression,EDUCATION,EDUCATION=1,1,31689,0.19236959197197767,0.1957146012812017,0.5144356955380578,0.11979838237017934,0.48556430446194226,0.16677377415918176,0.7779829728857741
LogisticRegression,EDUCATION,EDUCATION=2,2,42057,0.23739211070689778,0.26984806334260647,0.5839342948717948,0.17207620116608985,0.4160657051282051,0.19275815028330615,0.7698698424447594
LogisticRegression,EDUCATION,EDUCATION=3,3,14745,0.25167853509664295,0.301119023397762,0.6125033683643223,0.19639296719231467,0.3874966316356777,0.20341555033947342,0.7616717578605059
LogisticRegression,EDUCATION,EDUCATION=4,4,1404,0.07051282051282051,0.06054131054131054,0.21212121212121213,0.04904214559386973,0.7878787878787878,0.09177592226839476,0.5934904601571268
LogisticRegression,MARRIAGE,MARRIAGE=1,1,40929,0.23462581543648758,0.26511764274719635,0.5803394772466938,0.1684862414607674,0.41966052275330623,0.19078350134004793,0.7740942965580976
LogisticRegression,MARRIAGE,MARRIAGE=2,2,47835,0.2094700533082471,0.2280129612208634,0.5526946107784431,0.1419806954912072,0.4473053892215569,0.1771954616855081,0.7738120757031488
LogisticRegression,MARRIAGE,MARRIAGE=3,3,1131,0.23607427055702918,0.28116710875331563,0.5580524344569289,0.19560185185185186,0.4419475655430712,0.2079721523807054,0.7231758912470523
CatBoost,SEX,SEX=1,1,35622,0.2416203469765875,0.27791814047498736,0.6007900546067154,0.175050897649454,0.3992099453932845,0.18652170221076364,0.785970025860997
CatBoost,SEX,SEX=2,2,54273,0.20789342767121774,0.22532382584342123,0.5619959230701055,0.13696208420562922,0.4380040769298945,0.1707478799170706,0.7888338653645
CatBoost,EDUCATION,EDUCATION=1,1,31689,0.19236959197197767,0.19940673419798668,0.5375656167979003,0.11886062595240886,0.46243438320209973,0.159460663253279,0.7929048462593272
CatBoost,EDUCATION,EDUCATION=2,2,42057,0.23739211070689778,0.2670899017999382,0.589042467948718,0.16686932934243756,0.41095753205128205,0.1859901478209433,0.7836209356415094
CatBoost,EDUCATION,EDUCATION=3,3,14745,0.25167853509664295,0.3058663953882672,0.6300188628402048,0.19684611201740077,0.3699811371597952,0.19685595182943988,0.7806726173581601
CatBoost,EDUCATION,EDUCATION=4,4,1404,0.07051282051282051,0.04772079772079772,0.16161616161616163,0.03908045977011494,0.8383838383838383,0.0949417011590688,0.6020589032083284
CatBoost,MARRIAGE,MARRIAGE=1,1,40929,0.23462581543648758,0.2602799970680935,0.5889826096011663,0.15951605694949883,0.41101739039883367,0.18100009226121763,0.7881776939705172
CatBoost,MARRIAGE,MARRIAGE=2,2,47835,0.2094700533082471,0.2333855963206857,0.5700598802395209,0.14417559169641678,0.429940119760479,0.17285213067148475,0.7895245011761483
CatBoost,MARRIAGE,MARRIAGE=3,3,1131,0.23607427055702918,0.27586206896551724,0.5393258426966292,0.19444444444444445,0.4606741573033708,0.20755200359075524,0.7380791371896241
LightGBM,SEX,SEX=1,1,35622,0.2416203469765875,0.2613834147436977,0.5758103868943882,0.1612067369979641,0.4241896131056117,0.16085479294940866,0.7770538535053001
LightGBM,SEX,SEX=2,2,54273,0.20789342767121774,0.22421830376061763,0.5548169812992998,0.13745056989997673,0.44518301870070015,0.14893012344834475,0.7823881500156983
LightGBM,EDUCATION,EDUCATION=1,1,31689,0.19236959197197767,0.19483101391650098,0.5226377952755905,0.11675067401242527,0.47736220472440943,0.1424310620572185,0.7849630421263278
LightGBM,EDUCATION,EDUCATION=2,2,42057,0.23739211070689778,0.25726989561785196,0.5751201923076923,0.15832631808686434,0.4248798076923077,0.15927518279206532,0.7777037685514296
LightGBM,EDUCATION,EDUCATION=3,3,14745,0.25167853509664295,0.29352322821295357,0.6106170843438427,0.1868769258655066,0.38938291565615735,0.1659017478736184,0.7735414536788301
LightGBM,EDUCATION,EDUCATION=4,4,1404,0.07051282051282051,0.11253561253561253,0.2222222222222222,0.10421455938697317,0.7777777777777778,0.11004164084206453,0.6097449591702465
LightGBM,MARRIAGE,MARRIAGE=1,1,40929,0.23462581543648758,0.24483862298126022,0.5614912006664584,0.14776862669986593,0.4385087993335416,0.1573048974752324,0.7798569781654549
LightGBM,MARRIAGE,MARRIAGE=2,2,47835,0.2094700533082471,0.23292568203198494,0.5665668662674651,0.1445193706201243,0.43343313373253495,0.1501919017868841,0.783233965758817
LightGBM,MARRIAGE,MARRIAGE=3,3,1131,0.23607427055702918,0.28028293545534927,0.550561797752809,0.19675925925925927,0.449438202247191,0.16807449479793274,0.7300466430850325
MLP,SEX,SEX=1,1,35622,0.2416203469765875,0.2726685755993487,0.5889392355059835,0.17190449750138811,0.4110607644940165,0.19362886477662625,0.7794977062108777
MLP,SEX,SEX=2,2,54273,0.20789342767121774,0.20920162880253534,0.5320393512363734,0.12447080716445685,0.4679606487636267,0.17253301563478163,0.7828224090005906
MLP,EDUCATION,EDUCATION=1,1,31689,0.19236959197197767,0.1787686578939064,0.500492125984252,0.10213730316883522,0.49950787401574803,0.16133646641766192,0.7859838162409689
MLP,EDUCATION,EDUCATION=2,2,42057,0.23739211070689778,0.26071759754618734,0.5776241987179487,0.16206778287032705,0.42237580128205127,0.19051000015400926,0.7791038807728883
MLP,EDUCATION,EDUCATION=3,3,14745,0.25167853509664295,0.29399796541200407,0.60172460253301,0.1905020844661954,0.39827539746699003,0.2008148037499099,0.7724043666603219
MLP,EDUCATION,EDUCATION=4,4,1404,0.07051282051282051,0.07264957264957266,0.21212121212121213,0.06206896551724138,0.7878787878787878,0.1249623479633959,0.5998529354851194
MLP,MARRIAGE,MARRIAGE=1,1,40929,0.23462581543648758,0.25170417063695666,0.5719046131417266,0.153546574730256,0.4280953868582735,0.18701224790111234,0.7827079481781843
MLP,MARRIAGE,MARRIAGE=2,2,47835,0.2094700533082471,0.2185429079126163,0.5427145708582835,0.1326457754859183,0.45728542914171655,0.1749852432440165,0.782326271693028
MLP,MARRIAGE,MARRIAGE=3,3,1131,0.23607427055702918,0.2749778956675508,0.5318352059925093,0.19560185185185186,0.4681647940074906,0.20927353996227177,0.7380574628936052
TabNet,SEX,SEX=1,1,35622,0.2416203469765875,0.27095615069339174,0.578017892413152,0.17312604108828428,0.4219821075868479,0.19471395573878456,0.7691015071708072
TabNet,SEX,SEX=2,2,54273,0.20789342767121774,0.21811950693715107,0.533546042719135,0.13533379855780414,0.46645395728086503,0.17802601855802744,0.7727103801194819
TabNet,EDUCATION,EDUCATION=1,1,31689,0.19236959197197767,0.19218025182239895,0.5008202099737533,0.11866526003204,0.49917979002624674,0.16738984038709062,0.7760307173939149
TabNet,EDUCATION,EDUCATION=2,2,42057,0.23739211070689778,0.2607413748008655,0.5735176282051282,0.16337729554453903,0.4264823717948718,0.19197600808023482,0.7699202504757775
TabNet,EDUCATION,EDUCATION=3,3,14745,0.25167853509664295,0.2918277382163445,0.5912153058474805,0.19113648722131593,0.40878469415251956,0.2033212587927483,0.7624038962981915
TabNet,EDUCATION,EDUCATION=4,4,1404,0.07051282051282051,0.0933048433048433,0.2222222222222222,0.08352490421455938,0.7777777777777778,0.1579651365888773,0.5614807074577189
TabNet,MARRIAGE,MARRIAGE=1,1,40929,0.23462581543648758,0.25040924527840897,0.5582630427991253,0.15603651918534125,0.44173695720087475,0.18797179363298627,0.7697122181692819
TabNet,MARRIAGE,MARRIAGE=2,2,47835,0.2094700533082471,0.22849378070450507,0.5479041916167665,0.14385825730530213,0.45209580838323354,0.18109413561518015,0.7753194153805307
TabNet,MARRIAGE,MARRIAGE=3,3,1131,0.23607427055702918,0.2749778956675508,0.5393258426966292,0.19328703703703703,0.4606741573033708,0.2139444012114674,0.7170550700513247
