model_name,reference_model_name,method,k,abs_change_mean,abs_change_std,signed_drop_mean,signed_drop_std,n_samples
CatBoost,CatBoost,TreeSHAP,1,0.08557642650469229,0.10054188110658452,0.07633503154411206,0.10772723481347787,7500
CatBoost,CatBoost,TreeSHAP,3,0.1659392733700302,0.16625594181757158,0.15033108057111774,0.18049405842335373,7500
CatBoost,CatBoost,TreeSHAP,5,0.20723677994869155,0.1952335656001419,0.1901389512428818,0.21192289480641718,7500
CatBoost,CatBoost,TreeSHAP,10,0.2512034048289811,0.22029393897839297,0.23554187744969238,0.23696753084458505,7500
LightGBM,LightGBM,TreeSHAP,1,0.055281968136104725,0.061249549712966915,0.0540814221624935,0.062312283109856016,7500
LightGBM,LightGBM,TreeSHAP,3,0.08813708747639924,0.08486462375032194,0.08684182679914704,0.0861897783639711,7500
LightGBM,LightGBM,TreeSHAP,5,0.10557050856321173,0.09451253724491941,0.10425079069159948,0.09596646049804569,7500
LightGBM,LightGBM,TreeSHAP,10,0.12419281951559198,0.10232545591065755,0.12289460076018918,0.10388125541240119,7500
MLP,MLP,IntegratedGradients,1,0.1150742449822958,0.08419974126590415,0.08243696931273382,0.11634725604713143,7500
MLP,MLP,IntegratedGradients,3,0.20893151949144279,0.18032161692964818,0.18264447543127463,0.20690730677439995,7500
MLP,MLP,IntegratedGradients,5,0.23770330546333765,0.20089645292332037,0.21065154923762505,0.2291065001616194,7500
MLP,MLP,IntegratedGradients,10,0.26511177626252175,0.21811623367935837,0.2400148012896379,0.2454659466838093,7500
Random-CatBoost,CatBoost,Random,1,0.011186315375145589,0.02789948273649768,0.006767326146005663,0.029287005055832517,7500
Random-CatBoost,CatBoost,Random,3,0.02917766802265956,0.04836960412101582,0.022011475240612297,0.052024021270509396,7500
Random-CatBoost,CatBoost,Random,5,0.04483667491040114,0.061979175667413296,0.03649650361261198,0.06722976508884045,7500
Random-CatBoost,CatBoost,Random,10,0.08618986051977638,0.09697356304443519,0.07717535533489053,0.10429153798501781,7500
Random-LightGBM,LightGBM,Random,1,0.003844554521245843,0.01574615953647716,0.0028213448939912217,0.015961298886382633,7500
Random-LightGBM,LightGBM,Random,3,0.011134072788049404,0.026850637773022927,0.008978482530120246,0.027646282905397657,7500
Random-LightGBM,LightGBM,Random,5,0.018776098564956583,0.036123417221685154,0.01598726250475627,0.03744146785311731,7500
Random-LightGBM,LightGBM,Random,10,0.03707639921922088,0.051235292720849694,0.033574474400109904,0.05359572987607622,7500
Random-MLP,MLP,Random,1,0.01085729181499233,0.02600568250784239,0.0032429248336051926,0.027994179107754102,7500
Random-MLP,MLP,Random,3,0.027843535919422114,0.04542466029819098,0.011779467736119237,0.051961440265105,7500
Random-MLP,MLP,Random,5,0.04087447244750179,0.0576602184839593,0.019899837547026906,0.0678202753184812,7500
Random-MLP,MLP,Random,10,0.07328548633620276,0.08781010482413457,0.04680003447418279,0.10436262700680787,7500
Random-TabNet,TabNet,Random,1,0.012261474772853156,0.03858538055120691,0.0043383475963647165,0.04025383999933677,7500
Random-TabNet,TabNet,Random,3,0.03226888113773117,0.06430701967624408,0.016715482346651454,0.06998119544634004,7500
Random-TabNet,TabNet,Random,5,0.04806395847958823,0.07971195861233936,0.026634697738662363,0.08919050839058969,7500
Random-TabNet,TabNet,Random,10,0.08607130775302649,0.11211282284813949,0.061155718483030794,0.1274284988810959,7500
TabNet,TabNet,TabNetMasks,1,0.0986532881245017,0.12981582264338629,0.07969029486527046,0.14224811757815095,7500
TabNet,TabNet,TabNetMasks,3,0.15825330893993378,0.16201789326824623,0.1286122722685337,0.18642404575337448,7500
TabNet,TabNet,TabNetMasks,5,0.17757579628626505,0.1689112314399808,0.14767296556532383,0.19559693179724846,7500
TabNet,TabNet,TabNetMasks,10,0.18987697482307753,0.17190667767321094,0.15977224177718163,0.20019841612950945,7500
