model_name,method,seed,fold,infidelity
Random-CatBoost,Random,42,0,0.29305873370640745
CatBoost,TreeSHAP,42,0,0.005897545836047116
Random-LightGBM,Random,42,0,0.2910473262045993
LightGBM,TreeSHAP,42,0,0.002513292691547397
Random-MLP,Random,42,0,0.2894140074149023
MLP,IntegratedGradients,42,0,0.011155480518937111
Random-TabNet,Random,42,0,0.28992886038585297
TabNet,TabNetMasks,42,0,0.0031277392990887165
Random-CatBoost,Random,42,1,0.2946350185833314
CatBoost,TreeSHAP,42,1,0.007071064914194655
Random-LightGBM,Random,42,1,0.29136309247938363
LightGBM,TreeSHAP,42,1,0.0027291679975818975
Random-MLP,Random,42,1,0.28918080621031034
MLP,IntegratedGradients,42,1,0.010721472091972828
Random-TabNet,Random,42,1,0.29126370956355285
TabNet,TabNetMasks,42,1,0.00349765014834702
Random-CatBoost,Random,42,2,0.2951216507058901
CatBoost,TreeSHAP,42,2,0.007930048922641897
Random-LightGBM,Random,42,2,0.29187919567895604
LightGBM,TreeSHAP,42,2,0.0035250646857444426
Random-MLP,Random,42,2,0.2892694564387767
MLP,IntegratedGradients,42,2,0.011343156918883324
Random-TabNet,Random,42,2,0.28964543534987985
TabNet,TabNetMasks,42,2,0.0027609788812696934
Random-CatBoost,Random,42,3,0.29096047741043113
CatBoost,TreeSHAP,42,3,0.003522756091651938
Random-LightGBM,Random,42,3,0.2916427850061313
LightGBM,TreeSHAP,42,3,0.0029111288004731017
Random-MLP,Random,42,3,0.2898745716429548
MLP,IntegratedGradients,42,3,0.00830077100545168
Random-TabNet,Random,42,3,0.2901133752531294
TabNet,TabNetMasks,42,3,0.0031866927165538073
Random-CatBoost,Random,42,4,0.2942365545939001
CatBoost,TreeSHAP,42,4,0.006854813310112259
Random-LightGBM,Random,42,4,0.2906350430600661
LightGBM,TreeSHAP,42,4,0.0019475500724571173
Random-MLP,Random,42,4,0.28957916986742827
MLP,IntegratedGradients,42,4,0.009489220567047596
Random-TabNet,Random,42,4,0.28992943545712707
TabNet,TabNetMasks,42,4,0.002911868505179882
Random-CatBoost,Random,2024,0,0.293033496254984
CatBoost,TreeSHAP,2024,0,0.004942513311657399
Random-LightGBM,Random,2024,0,0.29043425505571163
LightGBM,TreeSHAP,2024,0,0.0021683355430755905
Random-MLP,Random,2024,0,0.2892222240827097
MLP,IntegratedGradients,2024,0,0.007848613895475864
Random-TabNet,Random,2024,0,0.28951497833325324
TabNet,TabNetMasks,2024,0,0.0020378197077661753
Random-CatBoost,Random,2024,1,0.29234599649215504
CatBoost,TreeSHAP,2024,1,0.005410445479526458
Random-LightGBM,Random,2024,1,0.28993187102474327
LightGBM,TreeSHAP,2024,1,0.0018282467213746253
Random-MLP,Random,2024,1,0.2894153788856243
MLP,IntegratedGradients,2024,1,0.020843081176280975
Random-TabNet,Random,2024,1,0.2889785350856897
TabNet,TabNetMasks,2024,1,0.00198960117995739
Random-CatBoost,Random,2024,2,0.29126402753044617
CatBoost,TreeSHAP,2024,2,0.005157301352823271
Random-LightGBM,Random,2024,2,0.290123838058784
LightGBM,TreeSHAP,2024,2,0.0027246911126001428
Random-MLP,Random,2024,2,0.2892662742078897
MLP,IntegratedGradients,2024,2,0.008365167304873466
Random-TabNet,Random,2024,2,0.28945369777940916
TabNet,TabNetMasks,2024,2,0.004246335942298174
Random-CatBoost,Random,2024,3,0.29337408987147634
CatBoost,TreeSHAP,2024,3,0.0056803257324876235
Random-LightGBM,Random,2024,3,0.290482589575341
LightGBM,TreeSHAP,2024,3,0.0021462384535028806
Random-MLP,Random,2024,3,0.2893844600522324
MLP,IntegratedGradients,2024,3,0.012797762639820576
Random-TabNet,Random,2024,3,0.28978901533186174
TabNet,TabNetMasks,2024,3,0.0027684394735842943
Random-CatBoost,Random,2024,4,0.2907936599835064
CatBoost,TreeSHAP,2024,4,0.004248633918571653
Random-LightGBM,Random,2024,4,0.2900054364148677
LightGBM,TreeSHAP,2024,4,0.0024571351341695262
Random-MLP,Random,2024,4,0.2894495742938484
MLP,IntegratedGradients,2024,4,0.011669320054352283
Random-TabNet,Random,2024,4,0.29001033013248384
TabNet,TabNetMasks,2024,4,0.002871111035346985
Random-CatBoost,Random,7,0,0.27975637549487964
CatBoost,TreeSHAP,7,0,0.005123043482280262
Random-LightGBM,Random,7,0,0.2781587975323482
LightGBM,TreeSHAP,7,0,0.0030903062878451654
Random-MLP,Random,7,0,0.27660478113957426
MLP,IntegratedGradients,7,0,0.010351335629820824
Random-TabNet,Random,7,0,0.27726344489735444
TabNet,TabNetMasks,7,0,0.00336403283290565
Random-CatBoost,Random,7,1,0.280094715331338
CatBoost,TreeSHAP,7,1,0.00547581393454839
Random-LightGBM,Random,7,1,0.2781894588795838
LightGBM,TreeSHAP,7,1,0.0021317434906362592
Random-MLP,Random,7,1,0.27641137752452266
MLP,IntegratedGradients,7,1,0.009237503632903099
Random-TabNet,Random,7,1,0.27815236796781273
TabNet,TabNetMasks,7,1,0.0031788379419595003
Random-CatBoost,Random,7,2,0.28066821383204876
CatBoost,TreeSHAP,7,2,0.005167787549054589
Random-LightGBM,Random,7,2,0.28075097106193725
LightGBM,TreeSHAP,7,2,0.004194596756326253
Random-MLP,Random,7,2,0.2767994966012687
MLP,IntegratedGradients,7,2,0.014757929369807243
Random-TabNet,Random,7,2,0.2779292158592345
TabNet,TabNetMasks,7,2,0.0030845622532069683
Random-CatBoost,Random,7,3,0.28064215208431675
CatBoost,TreeSHAP,7,3,0.006325534815687178
Random-LightGBM,Random,7,3,0.2781684742293294
LightGBM,TreeSHAP,7,3,0.0022091912980749953
Random-MLP,Random,7,3,0.27627335279469645
MLP,IntegratedGradients,7,3,0.010251260362565517
Random-TabNet,Random,7,3,0.27767062002868814
TabNet,TabNetMasks,7,3,0.003932497464120388
Random-CatBoost,Random,7,4,0.283102179217784
CatBoost,TreeSHAP,7,4,0.007936260443993207
Random-LightGBM,Random,7,4,0.2778574681705915
LightGBM,TreeSHAP,7,4,0.002232649331332515
Random-MLP,Random,7,4,0.27665284653483524
MLP,IntegratedGradients,7,4,0.010457082651555538
Random-TabNet,Random,7,4,0.27883723793654436
TabNet,TabNetMasks,7,4,0.0028102428186684847
